risk_comfort,growth_preference,loss_tolerance,time_horizon,income_stability,risk_category
10,2,8,21,3,Aggressive
1,7,4,17,1,Conservative
5,9,4,7,2,Moderate
5,3,3,3,2,Conservative
3,9,3,5,2,Moderate
8,7,8,6,3,Aggressive
2,3,10,2,2,Conservative
10,2,2,21,3,Moderate
4,3,8,7,2,Moderate
8,7,8,23,2,Aggressive
9,1,10,19,3,Aggressive
7,1,8,9,1,Moderate
9,2,10,29,3,Aggressive
3,3,4,15,2,Conservative
2,1,7,27,2,Conservative
9,2,3,15,2,Moderate
3,4,6,21,2,Moderate
4,4,4,25,2,Moderate
3,1,6,1,3,Conservative
10,5,1,11,1,Moderate
7,5,3,23,2,Moderate
8,10,7,7,3,Aggressive
7,4,7,23,2,Moderate
7,10,7,17,1,Aggressive
5,9,7,13,2,Aggressive
9,5,4,24,1,Aggressive
4,2,4,4,1,Conservative
4,10,8,3,2,Moderate
6,9,4,13,3,Moderate
9,10,1,10,1,Aggressive
8,4,9,1,2,Moderate
5,3,8,18,3,Moderate
3,10,3,16,3,Moderate
10,9,3,30,1,Aggressive
5,9,3,15,1,Moderate
8,4,3,29,1,Moderate
5,1,7,9,3,Moderate
9,10,5,2,1,Aggressive
10,6,7,27,3,Aggressive
3,5,7,1,2,Moderate
6,10,5,7,1,Aggressive
2,9,9,3,2,Moderate
5,2,7,5,1,Moderate
2,8,8,27,3,Moderate
10,7,1,26,2,Aggressive
10,5,9,15,2,Aggressive
5,6,1,12,2,Moderate
1,1,3,21,1,Conservative
9,10,9,29,3,Aggressive
7,1,4,11,2,Moderate
3,6,1,6,2,Conservative
4,10,3,15,1,Moderate
1,5,8,22,1,Moderate
4,3,9,9,1,Moderate
2,10,8,24,1,Moderate
4,8,10,18,3,Aggressive
10,10,7,9,1,Aggressive
2,5,1,20,3,Conservative
2,8,3,25,1,Moderate
2,8,8,18,2,Moderate
1,8,3,27,2,Moderate
10,3,9,5,3,Aggressive
9,5,1,10,3,Moderate
1,8,10,24,3,Moderate
2,3,9,1,1,Conservative
4,7,2,20,2,Moderate
10,2,1,2,3,Moderate
6,4,10,20,2,Moderate
6,5,7,17,1,Moderate
6,5,9,2,1,Moderate
5,4,1,13,1,Conservative
8,4,8,30,1,Aggressive
2,2,2,23,1,Conservative
2,2,6,12,3,Conservative
5,9,2,22,3,Moderate
5,5,8,18,2,Moderate
2,2,3,7,3,Conservative
10,6,6,9,2,Aggressive
8,8,7,6,3,Aggressive
2,2,1,8,2,Conservative
7,3,6,1,2,Moderate
2,6,5,1,3,Conservative
9,9,1,3,2,Aggressive
1,3,10,6,2,Conservative
1,1,7,21,3,Conservative
4,5,4,22,1,Moderate
5,2,10,20,3,Moderate
2,1,4,28,2,Conservative
4,5,1,8,1,Conservative
4,5,1,9,3,Conservative
7,8,4,25,1,Aggressive
4,5,5,26,3,Moderate
4,4,3,18,2,Moderate
5,4,9,28,3,Moderate
9,3,3,17,1,Moderate
2,8,7,20,3,Moderate
6,2,3,5,3,Conservative
8,2,7,22,1,Moderate
1,6,5,2,2,Conservative
9,7,8,14,1,Aggressive
1,10,4,9,3,Moderate
7,9,8,5,2,Aggressive
4,3,4,13,3,Conservative
9,5,8,12,1,Aggressive
8,10,2,2,1,Aggressive
6,8,8,24,2,Aggressive
3,5,6,3,3,Moderate
5,2,8,5,3,Moderate
10,3,7,25,2,Aggressive
8,7,6,13,2,Aggressive
8,7,3,1,1,Moderate
5,10,8,28,3,Aggressive
10,7,2,10,3,Aggressive
8,4,10,18,2,Aggressive
5,3,6,23,1,Moderate
4,3,1,23,3,Conservative
3,10,5,20,1,Moderate
8,8,3,14,3,Aggressive
8,5,3,25,2,Moderate
6,5,2,4,3,Moderate
4,8,1,20,2,Moderate
1,3,5,26,2,Conservative
7,4,3,10,1,Moderate
4,3,8,25,3,Moderate
7,6,6,12,3,Moderate
2,1,4,30,1,Conservative
7,10,9,19,3,Aggressive
10,1,5,4,3,Moderate
2,2,6,4,2,Conservative
6,8,7,21,2,Aggressive
9,8,5,16,1,Aggressive
6,9,7,11,2,Aggressive
8,8,3,27,3,Aggressive
5,3,2,5,2,Conservative
4,5,7,12,1,Moderate
3,9,9,26,2,Aggressive
5,4,10,30,1,Moderate
6,1,6,8,1,Moderate
3,6,10,14,1,Moderate
5,7,3,16,3,Moderate
5,2,1,4,2,Conservative
3,10,9,27,3,Aggressive
7,5,5,18,1,Moderate
6,9,6,30,3,Aggressive
3,1,9,10,1,Conservative
7,3,4,1,2,Moderate
5,5,10,27,3,Moderate
8,7,3,6,1,Moderate
9,2,2,1,1,Moderate
9,10,4,28,1,Aggressive
7,10,6,16,3,Aggressive
10,9,2,8,2,Aggressive
8,9,7,21,2,Aggressive
8,2,5,11,3,Moderate
5,5,7,12,2,Moderate
1,1,9,12,1,Conservative
3,4,1,29,2,Conservative
7,10,3,12,2,Aggressive
9,3,9,8,3,Aggressive
3,7,9,3,1,Moderate
2,5,2,18,2,Conservative
9,6,8,24,1,Aggressive
10,8,10,14,3,Aggressive
3,7,9,30,2,Moderate
7,4,1,23,2,Moderate
7,10,3,19,1,Aggressive
9,9,3,12,2,Aggressive
5,7,5,24,1,Moderate
5,1,4,14,2,Conservative
4,8,5,4,2,Moderate
9,6,7,27,2,Aggressive
2,7,8,27,2,Moderate
8,8,5,28,2,Aggressive
10,4,9,27,3,Aggressive
8,2,4,14,2,Moderate
3,8,9,30,2,Moderate
2,8,1,17,1,Conservative
6,6,2,26,1,Moderate
7,1,8,9,1,Moderate
7,2,8,10,1,Moderate
8,1,7,21,1,Moderate
7,4,1,13,2,Moderate
2,3,10,18,2,Moderate
4,3,8,15,2,Moderate
3,7,8,12,3,Moderate
1,2,3,25,1,Conservative
6,7,2,14,3,Moderate
9,3,4,9,2,Moderate
7,8,8,20,3,Aggressive
4,4,3,29,3,Moderate
9,5,3,3,1,Moderate
8,1,5,18,2,Moderate
6,7,5,5,3,Moderate
8,8,8,3,3,Aggressive
7,1,7,25,2,Moderate
4,5,3,25,3,Moderate
10,8,1,25,2,Aggressive
6,5,4,7,2,Moderate
1,8,10,19,2,Moderate
6,1,4,14,2,Conservative
3,8,4,18,3,Moderate
3,5,6,25,2,Moderate
6,10,8,13,1,Aggressive
8,3,3,28,2,Moderate
9,9,10,17,1,Aggressive
5,9,1,4,1,Moderate
1,4,10,17,1,Moderate
